Auction Date,Property Address,Final Judgment,Assessed Value,Plaintiff Max Bid,Case #,Parcel ID,Case Link,Parcel Link
07/14/2026 11:00 AM ET,"1705 WALCOTT ST WESLEY CHAPEL, 33543","$228,442.51","$318,488.00","$228,442.51",51-2025-CA-001728-CAAX-ES,33-26-20-0150-00000-0560,https://pasco.realforeclose.com//index.cfm?zaction=auction&zmethod=details&AID=51-2025-CA-001728-CAAX-ES&bypassPage=1,https://pcpao.gov/Parcel-Details/33-26-20-0150-00000-0560
07/15/2026 11:00 AM ET,"9831 EDMONTON DRIVE LAND O LAKES, 34638","$265,428.12","$224,967.00","$265,428.12",51-2025-CA-001252-CAAX-ES,21-25-18-0040-00E00-0360,https://pasco.realforeclose.com//index.cfm?zaction=auction&zmethod=details&AID=51-2025-CA-001252-CAAX-ES&bypassPage=1,https://pcpao.gov/Parcel-Details/21-25-18-0040-00E00-0360
07/20/2026 11:00 AM ET,"36146 BROWNING ROAD DADE CITY, 33523","$533,909.63","$368,190.00","$533,909.63",51-2025-CA-002606-CAAX-ES,09-24-21-0000-00700-0011,https://pasco.realforeclose.com//index.cfm?zaction=auction&zmethod=details&AID=51-2025-CA-002606-CAAX-ES&bypassPage=1,https://pcpao.gov/Parcel-Details/09-24-21-0000-00700-0011
07/21/2026 11:00 AM ET,"9335 CREEKSIDE COURT HUDSON, 34669","$157,121.00","$270,760.00","$157,121.00",51-2024-CA-003132-CAAX-WS,36-24-16-0150-00000-3950,https://pasco.realforeclose.com//index.cfm?zaction=auction&zmethod=details&AID=51-2024-CA-003132-CAAX-WS&bypassPage=1,https://pcpao.gov/Parcel-Details/36-24-16-0150-00000-3950
07/22/2026 11:00 AM ET,"32516 SUMMERGLADE DR WESLEY CHAPEL, 33545","$608,608.72","$432,010.00","$608,608.72",51-2025-CA-001652-CAAX-ES,35-25-20-0010-01700-0060,https://pasco.realforeclose.com//index.cfm?zaction=auction&zmethod=details&AID=51-2025-CA-001652-CAAX-ES&bypassPage=1,https://pcpao.gov/Parcel-Details/35-25-20-0010-01700-0060
07/22/2026 11:00 AM ET,"22853 KILLINGTON BLVD LAND O LAKES, 34639","$282,826.90","$301,550.00","$282,826.90",51-2025-CA-003854-CAAX-ES,19-26-19-0060-00000-1120,https://pasco.realforeclose.com//index.cfm?zaction=auction&zmethod=details&AID=51-2025-CA-003854-CAAX-ES&bypassPage=1,https://pcpao.gov/Parcel-Details/19-26-19-0060-00000-1120
07/22/2026 11:00 AM ET,"3111 CRENSHAW COURT NEW PORT RICHEY, 34655","$6,705.77","$160,210.00","$6,705.77",51-2025-CC-006500-CCAX-WS,24-26-16-0400-00000-1820,https://pasco.realforeclose.com//index.cfm?zaction=auction&zmethod=details&AID=51-2025-CC-006500-CCAX-WS&bypassPage=1,https://pcpao.gov/Parcel-Details/24-26-16-0400-00000-1820
07/23/2026 11:00 AM ET,"5838 MONTANA AVE NEW PORT RICHEY, 34652-2728","$94,070.12","$188,610.00","$94,070.12",51-2024-CA-002050-CAAX-WS,05-26-16-0030-12300-0030,https://pasco.realforeclose.com//index.cfm?zaction=auction&zmethod=details&AID=51-2024-CA-002050-CAAX-WS&bypassPage=1,https://pcpao.gov/Parcel-Details/05-26-16-0030-12300-0030
07/27/2026 11:00 AM ET,"16321 FISCUS DRIVE SPRING HILL, 34610","$495,823.12","$148,060.00","$495,823.12",51-2024-CA-000372-CAAX-ES,06-24-18-0040-00002-3140,https://pasco.realforeclose.com//index.cfm?zaction=auction&zmethod=details&AID=51-2024-CA-000372-CAAX-ES&bypassPage=1,https://pcpao.gov/Parcel-Details/06-24-18-0040-00002-3140
07/27/2026 11:00 AM ET,"19400 TIMBERBLUFF DR LAND O LAKES, 34638","$312,627.31","$121,470.00","$312,627.31",51-2025-CA-000121-CAAX-ES,22-25-18-0030-00500-0040,https://pasco.realforeclose.com//index.cfm?zaction=auction&zmethod=details&AID=51-2025-CA-000121-CAAX-ES&bypassPage=1,https://pcpao.gov/Parcel-Details/22-25-18-0030-00500-0040
07/27/2026 11:00 AM ET,"8539 CORAL CREEK LOOP HUDSON, 34667","$471,275.83","$324,462.00","$471,275.83",51-2025-CA-001694-CAAX-WS,26-24-16-0050-00000-0790,https://pasco.realforeclose.com//index.cfm?zaction=auction&zmethod=details&AID=51-2025-CA-001694-CAAX-WS&bypassPage=1,https://pcpao.gov/Parcel-Details/26-24-16-0050-00000-0790
07/28/2026 11:00 AM ET,"13933 NESBIT CT HUDSON, 34669","$407,783.50","$244,370.00","$407,783.50",51-2025-CA-001266-CAAX-WS,34-24-17-0110-00000-4270,https://pasco.realforeclose.com//index.cfm?zaction=auction&zmethod=details&AID=51-2025-CA-001266-CAAX-WS&bypassPage=1,https://pcpao.gov/Parcel-Details/34-24-17-0110-00000-4270
07/28/2026 11:00 AM ET,"13256 PRECEPT WAY HUDSON, 34669","$389,647.06","$260,357.00","$389,647.06",51-2025-CA-002280-CAAX-WS,34-24-17-0090-00000-0260,https://pasco.realforeclose.com//index.cfm?zaction=auction&zmethod=details&AID=51-2025-CA-002280-CAAX-WS&bypassPage=1,https://pcpao.gov/Parcel-Details/34-24-17-0090-00000-0260
07/29/2026 11:00 AM ET,"36733 THOMAS JEFFERSON ROAD DADE CITY, 33525","$340,092.19","$59,431.00","$200,264.40",51-2025-CA-002535-CAAX-ES,Property,https://pasco.realforeclose.com//index.cfm?zaction=auction&zmethod=details&AID=51-2025-CA-002535-CAAX-ES&bypassPage=1,https://pcpao.gov/Parcel-Details/Property
07/30/2026 11:00 AM ET,"34075 JASPER STONE DRIVE WESLEY CHAPEL, 33543","$8,214.28","$326,301.00","$8,214.28",51-2025-CC-004727-CCAX-ES,30-26-21-0010-00200-0310,https://pasco.realforeclose.com//index.cfm?zaction=auction&zmethod=details&AID=51-2025-CC-004727-CCAX-ES&bypassPage=1,https://pcpao.gov/Parcel-Details/30-26-21-0010-00200-0310
08/03/2026 11:00 AM ET,"7136 WEDGEWOOD DR NEW PORT RICHEY, 34652","$94,760.73","$151,065.00","$94,760.73",51-2025-CA-001220-CAAX-WS,32-25-16-0170-00A00-0080,https://pasco.realforeclose.com//index.cfm?zaction=auction&zmethod=details&AID=51-2025-CA-001220-CAAX-WS&bypassPage=1,https://pcpao.gov/Parcel-Details/32-25-16-0170-00A00-0080
08/03/2026 11:00 AM ET,"3923 CARIOCA ROAD HOLIDAY, 34691","$143,874.81","$155,880.00","$143,874.81",51-2025-CA-002682-CAAX-WS,25-26-15-0020-00000-0960,https://pasco.realforeclose.com//index.cfm?zaction=auction&zmethod=details&AID=51-2025-CA-002682-CAAX-WS&bypassPage=1,https://pcpao.gov/Parcel-Details/25-26-15-0020-00000-0960
08/04/2026 11:00 AM ET,"7313 MAKO DRIVE HUDSON, 34667","$507,889.91","$315,810.00","$507,889.91",51-2025-CA-002342-CAAX-WS,22-24-16-0040-00000-1070,https://pasco.realforeclose.com//index.cfm?zaction=auction&zmethod=details&AID=51-2025-CA-002342-CAAX-WS&bypassPage=1,https://pcpao.gov/Parcel-Details/22-24-16-0040-00000-1070
08/10/2026 11:00 AM ET,"3904 VILLAMORE LN ODESSA, 33556","$307,452.52","$444,740.00","$307,452.52",51-2025-CA-003275-CAAX-WS,21-26-17-0100-00800-0110,https://pasco.realforeclose.com//index.cfm?zaction=auction&zmethod=details&AID=51-2025-CA-003275-CAAX-WS&bypassPage=1,https://pcpao.gov/Parcel-Details/21-26-17-0100-00800-0110
08/13/2026 11:00 AM ET,"31398 MANGO FADE SAN ANTONIO, 33576","$202,371.92","$232,730.00","$202,371.92",51-2025-CA-002766-CAAX-ES,15-25-20-0080-02300-1100,https://pasco.realforeclose.com//index.cfm?zaction=auction&zmethod=details&AID=51-2025-CA-002766-CAAX-ES&bypassPage=1,https://pcpao.gov/Parcel-Details/15-25-20-0080-02300-1100
08/18/2026 11:00 AM ET,"12140 HUNTERS LAKE DR NEW PORT RICHEY, 34654","$151,782.76","$189,200.00","$151,782.76",51-2023-CA-004423-CAAX-WS,04-25-17-0080-00000-0200,https://pasco.realforeclose.com//index.cfm?zaction=auction&zmethod=details&AID=51-2023-CA-004423-CAAX-WS&bypassPage=1,https://pcpao.gov/Parcel-Details/04-25-17-0080-00000-0200
08/18/2026 11:00 AM ET,"6702 SANDRA DR PORT RICHEY, 34668","$201,521.38","$101,694.00","$201,521.38",51-2025-CA-003846-CAAX-WS,09-25-16-0030-00000-0460,https://pasco.realforeclose.com//index.cfm?zaction=auction&zmethod=details&AID=51-2025-CA-003846-CAAX-WS&bypassPage=1,https://pcpao.gov/Parcel-Details/09-25-16-0030-00000-0460
08/25/2026 11:00 AM ET,"6111 TWIN BRIDGES DR ZEPHYRHILLS, 33541","$161,636.28","$173,090.00","$161,636.28",51-2025-CA-003828-CAAX-ES,05-26-21-0050-00000-0430,https://pasco.realforeclose.com//index.cfm?zaction=auction&zmethod=details&AID=51-2025-CA-003828-CAAX-ES&bypassPage=1,https://pcpao.gov/Parcel-Details/05-26-21-0050-00000-0430
